SH,DOD_SOL,DOD_MOL,DOD_NAN,SOL_SIL,SOL_MOL,SIL_MOL,SIL_NAN,MOL_NAN,SOL_NAN,SIL_DOD,d_DOD_SIL,rdf_peaks,rdf_dist,Frac_det,Surf_length,Nano_hydro
75,-2997.301431,-10.18209584,-124.89359,-12026.87364,-49100.31431,18232.26611,-44821.2779,-905.7017885,-3522.707624,-3619.435828,504.310875,4.517,0.476,0.12,5,25
75,-2805.245767,-7.720510831,-187.2229282,-11747.656,-48431.53512,18180.90865,-35757.19884,-113.6804915,-3582.844756,-3631.103144,492.6435593,4.384,0.49,0.05,5,50
75,-3000.296065,-6.116091831,-296.086305,-11456.47409,-46256.82655,18258.61847,-27284.41129,-215.3723698,-2911.791945,-3902.143936,221.6027672,4.52,0.47,0.01,5,75
75,-3212.969501,-15.41939528,-113.2805501,-12298.95707,-46588.54246,18230.59051,-19036.25191,-19.2820984,-2909.940186,-3819.78488,303.9618231,4.507,0.478,0.03,5,100
75,-3187.992459,-14.93439155,-102.9396377,-11127.50339,-52485.64657,18912.57325,-53769.64781,-1348.465891,-3652.976505,-3926.076132,197.6705709,4.424,0.498,0.02,6,0
75,-3094.34509,-13.94478806,-4.632229274,-11237.71875,-54248.03464,19032.21171,-44829.2371,-1012.838478,-3946.194697,-3838.237356,285.5093472,4.355,0.484,0.15,6,25
75,-2763.546914,-27.34291229,-144.7311755,-11517.18725,-52927.25305,19050.64212,-35935.67805,-780.6501716,-3094.240001,-3588.931146,534.8155573,4.328,0.48,0.14,6,50
75,-3036.874806,-21.74667039,-246.2566606,-11547.30977,-52752.12011,19003.09396,-27190.88696,-106.6715793,-2876.822857,-3843.913002,279.8337004,4.361,0.48,0.06,6,75
75,-3015.480913,-6.193847419,-90.09710308,-11682.29214,-55267.89111,19053.8653,-18796.15711,-23.88201547,-3064.132871,-3753.890754,369.8559491,4.416,0.466,0.01,6,100
100,-3434.461308,-838.973995,-118.9608192,-1183.702185,-8248.065699,-2490.852744,-53692.927,-541.1423982,-4392.568096,-4998.28184,3.524913548,5.954,0.462,0,3,0
100,-3313.952006,-819.3915364,-70.56255976,-1397.680023,-8302.943328,-2494.993373,-44728.46801,-506.9430446,-4043.432989,-4955.82853,45.97822443,6.067,0.472,0.01,3,25
100,-3491.91137,-376.4581575,-43.78037068,-1580.871009,-7851.998124,-1768.975344,-35727.74475,-997.8220371,-2935.873839,-4997.504588,4.302165754,5.989,0.488,0,3,50
100,-3425.112589,-527.8670838,-123.448384,-1965.555541,-8193.460455,-1900.718145,-27399.14889,-601.5673304,-2634.50745,-5061.409993,-59.6032391,5.923,0.492,0.06,3,75
100,-3294.876864,-803.4320365,-98.80485704,-1939.833969,-8192.751449,-2360.655931,-18831.10485,-534.4268927,-2555.476408,-4940.806519,61.00023448,5.993,0.472,0.08,3,100
100,-3389.687079,-773.762464,-40.73501844,-1464.424305,-7788.14588,-2157.984671,-53756.52325,-618.929748,-4106.63278,-5084.177363,-82.37060935,6.044,0.492,0,4,0
100,-3369.108579,-705.3705434,-87.41509871,-1216.22868,-7843.66132,-2078.985304,-44980.36958,-284.1998924,-3874.581181,-5006.352023,-4.545268762,5.992,0.47,0,4,25
100,-3355.721948,-634.0146732,-198.4926926,-1984.753596,-7959.400952,-1728.444252,-35896.86054,-284.3819269,-3162.153694,-5045.742758,-43.93600411,6.054,0.486,0,4,50
100,-3341.423718,-683.2839854,-61.74854735,-1377.261355,-7733.440321,-2359.679486,-27218.91391,-360.5247133,-3014.388414,-4993.370466,8.436288389,6.087,0.486,0.03,4,75
100,-3454.089998,-663.1129542,-79.09110011,-1460.08425,-7871.574345,-1974.642029,-18879.38417,-583.9099941,-2366.108421,-4985.841585,15.96516882,5.96,0.484,0.04,4,100
100,-3332.360419,-5.815584887,-26.68770379,-1928.66941,-48389.85439,18289.15816,-53703.35647,-2054.767815,-3644.914258,-4952.915881,48.89087256,6.041,0.486,0,5,0
100,-3306.404944,-5.853199573,-111.676873,-1646.076424,-48734.14238,18280.68873,-44888.79118,-763.9880473,-3791.296657,-4939.437371,62.36938292,5.848,0.48,0.01,5,25
100,-3306.789076,-14.54370868,-138.1839784,-2494.400714,-46834.8411,18315.24314,-35792.05838,-800.3638697,-3071.235509,-4851.668527,150.1382267,5.842,0.486,0,5,50
100,-3302.539009,-3.839682742,-205.9150408,-1788.550754,-49912.10683,18304.44073,-27403.67928,-53.95315002,-3093.658059,-4958.9343,42.87245445,5.898,0.49,0.02,5,75
100,-3264.895005,-8.697668073,-312.9843826,-2150.962782,-47575.79303,18295.88069,-19106.66247,-29.82323684,-2428.593426,-4959.79567,42.01108369,5.817,0.486,0.05,5,100
100,-3360.543947,-15.02514077,-26.72289109,-1911.886541,-52919.66607,19052.05285,-53766.00582,-2224.967016,-3523.363483,-4910.05098,91.75577362,5.98,0.48,0,6,0
100,-3245.969782,-10.59418917,-59.40253904,-1833.386442,-51792.07395,19035.90866,-44832.35233,-2141.296944,-3035.464011,-4919.051442,82.75531198,5.884,0.488,0,6,25
100,-3224.705503,-8.864371161,-209.5361006,-2205.604046,-52322.54741,19111.90301,-35978.96599,-1.044720423,-3436.24011,-4838.247333,163.5594206,5.94,0.49,0,6,50
100,-3296.660481,-7.969253597,-234.2713984,-1685.54369,-51933.04724,19095.50703,-27529.01302,-44.839519,-2855.528746,-4897.15314,104.6536139,5.939,0.484,0.02,6,75
100,-3276.728777,-9.474319782,-286.8638911,-2155.922261,-53390.87633,19045.85675,-19011.0474,-2.664863403,-2503.60105,-4904.949949,96.85680471,5.788,0.478,0.03,6,100
